1604145146.74;827.53;827.53;18.63;18.63
1604145147.85;827.82;827.82;18.62;18.62
1604145161.18;826.53;826.53;18.73;18.73
1604145304.64;834.93;834.93;18.84;18.84
1604145307.97;832.8;832.8;18.96;18.96
1604145311.3;830.62;830.62;19.08;19.08
1604145314.65;828.82;828.82;19.19;19.19
1604145319.09;826.51;826.51;19.32;19.32
1604145322.42;824.73;824.73;19.42;19.42
1604145326.87;822.71;822.71;19.54;19.54
1604145330.21;820.96;820.96;19.64;19.64
1604145334.66;819.02;819.02;19.75;19.75
1604145337.99;817.3;817.3;19.85;19.85
1604145342.44;815.25;815.25;19.97;19.97
1604145349.11;813.2;813.2;20.09;20.09
1604145352.45;811.58;811.58;20.19;20.19
1604145356.89;809.12;809.12;20.32;20.32
1604145361.34;807.12;807.12;20.44;20.44
1604145365.79;804.74;804.74;20.57;20.57
1604145369.14;802.69;802.69;20.69;20.69
1604145372.47;800.69;800.69;20.8;20.8
1604145375.81;798.74;798.74;20.91;20.91
1604145380.25;796.58;796.58;21.03;21.03
1604145383.59;794.41;794.41;21.15;21.15
1604145386.93;792.57;792.57;21.26;21.26
1604145390.26;790.59;790.59;21.37;21.37
1604145393.6;788.56;788.56;21.48;21.48
1604145398.05;786.04;786.04;21.62;21.62
1604145402.5;783.58;783.58;21.76;21.76
1604145405.83;781.41;781.41;21.88;21.88
1604145409.16;779.75;779.75;21.98;21.98
1604145413.61;777.36;777.36;22.11;22.11
1604145418.06;775.24;775.24;22.23;22.23
1604145421.39;773.36;773.36;22.34;22.34
1604145425.84;771.27;771.27;22.46;22.46
1604145429.18;769.12;769.12;22.57;22.57
1604145432.52;767.41;767.41;22.67;22.67
1604145436.97;765.15;765.15;22.8;22.8
1604145440.3;763.21;763.21;22.91;22.91
1604145443.64;760.72;760.72;23.04;23.04
1604145446.98;758.43;758.43;23.17;23.17
1604145450.31;756.18;756.18;23.29;23.29
1604145453.65;754.16;754.16;23.4;23.4
1604145456.98;752.14;752.14;23.52;23.52
1604145460.32;750.23;750.23;23.62;23.62
1604145464.77;747.97;747.97;23.75;23.75
1604145468.11;746.05;746.05;23.86;23.86
1604145471.44;743.79;743.79;23.98;23.98
1604145474.79;741.88;741.88;24.09;24.09
1604145478.12;740.08;740.08;24.19;24.19
1604145482.57;737.8;737.8;24.32;24.32
1604145487.02;735.42;735.42;24.45;24.45
1604145490.36;733.59;733.59;24.55;24.55
1604145493.7;731.56;731.56;24.66;24.66
1604145497.03;729.89;729.89;24.76;24.76
1604145501.48;727.29;727.29;24.9;24.9
1604145504.81;725.02;725.02;25.03;25.03
1604145508.15;723.0;723.0;25.14;25.14
1604145512.6;720.45;720.45;25.28;25.28
1604145517.04;718.16;718.16;25.41;25.41
1604145521.49;716.07;716.07;25.53;25.53
1604145525.94;713.65;713.65;25.66;25.66
1604145529.28;711.84;711.84;25.76;25.76
1604145533.72;709.36;709.36;25.9;25.9
1604145537.06;706.98;706.98;26.03;26.03
1604145540.4;704.82;704.82;26.15;26.15
1604145543.74;702.7;702.7;26.26;26.26
1604145547.07;700.37;700.37;26.39;26.39
1604145551.52;697.89;697.89;26.53;26.53
1604145554.86;695.45;695.45;26.66;26.66
1604145558.19;693.04;693.04;26.79;26.79
1604145561.53;690.87;690.87;26.91;26.91
1604145564.87;688.32;688.32;27.04;27.04
1604145567.09;686.54;686.54;27.14;27.14
1604145570.43;684.2;684.2;27.27;27.27
1604145573.76;681.76;681.76;27.4;27.4
1604145575.98;679.82;679.82;27.5;27.5
1604145579.31;677.4;677.4;27.63;27.63
1604145582.65;675.46;675.46;27.74;27.74
1604145587.1;673.08;673.08;27.87;27.87
1604145591.55;670.89;670.89;27.99;27.99
1604145594.88;668.63;668.63;28.12;28.12
1604145599.32;666.65;666.65;28.23;28.23
1604145603.78;664.69;664.69;28.34;28.34
1604145607.11;662.81;662.81;28.44;28.44
1604145611.56;660.8;660.8;28.56;28.56
1604145616.01;658.49;658.49;28.68;28.68
1604145619.35;656.33;656.33;28.8;28.8
1604145622.68;654.37;654.37;28.91;28.91
1604145626.02;652.32;652.32;29.02;29.02
1604145630.47;650.41;650.41;29.13;29.13
1604145634.92;648.1;648.1;29.26;29.26
1604145639.36;645.46;645.46;29.4;29.4
1604145642.7;643.57;643.57;29.5;29.5
1604145646.03;641.46;641.46;29.62;29.62
1604145649.36;639.35;639.35;29.73;29.73
1604145652.7;637.17;637.17;29.85;29.85
1604145656.04;634.81;634.81;29.98;29.98
1604145659.37;632.38;632.38;30.11;30.11
1604145662.71;630.51;630.51;30.21;30.21
1604145666.05;628.38;628.38;30.33;30.33
1604145669.38;626.16;626.16;30.45;30.45
1604145672.72;623.83;623.83;30.57;30.57
1604145676.06;621.74;621.74;30.68;30.68
1604145679.39;619.49;619.49;30.81;30.81
1604145682.73;617.35;617.35;30.92;30.92
1604145687.18;615.0;615.0;31.05;31.05
1604145691.63;612.72;612.72;31.18;31.18
1604145694.97;610.34;610.34;31.3;31.3
1604145698.3;608.35;608.35;31.41;31.41
1604145701.65;606.37;606.37;31.52;31.52
1604145704.97;604.33;604.33;31.63;31.63
1604145709.4;602.65;602.65;31.73;31.73
1604145717.15;600.73;600.73;31.84;31.84
1604145723.79;599.04;599.04;31.94;31.94
1604145735.97;597.56;597.56;32.05;32.05
1604145748.15;596.21;596.21;32.15;32.15
1604145765.86;595.1;595.1;32.25;32.25
1604145817.9;599.68;599.68;32.15;32.15
1604145886.53;605.02;605.02;32.05;32.05
1604146043.73;615.31;615.31;31.94;31.94
1604146076.95;618.86;618.86;31.84;31.84
1604146159.98;625.19;625.19;31.74;31.74
1604146199.85;627.4;627.4;31.63;31.63
1604146281.77;629.53;629.53;31.52;31.52
1604146342.65;631.79;631.79;31.41;31.41
1604146388.05;633.71;633.71;31.31;31.31
1604146445.62;636.02;636.02;31.2;31.2
1604146507.61;638.12;638.12;31.09;31.09
1604146551.89;640.14;640.14;30.99;30.99
1604146619.4;642.33;642.33;30.88;30.88
1604151986.18;703.63;703.63;24.82;24.82
1604152001.75;702.75;702.75;24.92;24.92
1604152056.23;703.82;703.82;25.03;25.03
1604152059.57;701.77;701.77;25.15;25.15
1604152064.02;699.44;699.44;25.28;25.28
1604152068.46;697.56;697.56;25.39;25.39
1604152075.14;695.71;695.71;25.5;25.5
1604152120.7;696.09;696.09;25.62;25.62
1604152126.26;694.09;694.09;25.74;25.74
1604152132.92;692.05;692.05;25.86;25.86
1604152140.71;690.59;690.59;25.96;25.96
1604152150.72;689.02;689.02;26.07;26.07
1604152159.61;687.51;687.51;26.17;26.17
1604152174.08;686.23;686.23;26.28;26.28
1604152181.86;684.5;684.5;26.39;26.39
1604152188.53;682.53;682.53;26.51;26.51
1604152200.76;680.79;680.79;26.63;26.63
1604152211.87;679.25;679.25;26.74;26.74
1604152220.76;677.62;677.62;26.85;26.85
1604152228.54;675.77;675.77;26.96;26.96
1604152235.21;674.12;674.12;27.07;27.07
1604152247.44;672.58;672.58;27.18;27.18
1604152256.33;671.06;671.06;27.28;27.28
1604152264.12;669.2;669.2;27.4;27.4
1604152274.12;667.6;667.6;27.51;27.51
1604152283.01;665.91;665.91;27.62;27.62
1604152295.25;664.41;664.41;27.73;27.73
1604152301.92;662.56;662.56;27.84;27.84
1604152311.93;661.01;661.01;27.95;27.95
1604152323.04;659.34;659.34;28.06;28.06
1604152329.72;657.51;657.51;28.17;28.17
1604152338.61;655.89;655.89;28.28;28.28
1604152346.39;654.05;654.05;28.39;28.39
1604152353.07;652.24;652.24;28.5;28.5
1604152363.06;650.84;650.84;28.6;28.6
1604152376.4;649.31;649.31;28.71;28.71
1604152384.18;647.7;647.7;28.82;28.82
1604152389.72;645.91;645.91;28.92;28.92
1604152397.49;644.24;644.24;29.03;29.03
1604152411.94;642.86;642.86;29.14;29.14
1604152429.74;641.48;641.48;29.25;29.25
1604152436.42;639.88;639.88;29.35;29.35
1604152450.86;638.57;638.57;29.46;29.46
1604152460.87;636.91;636.91;29.57;29.57
1604152467.54;635.18;635.18;29.67;29.67
1604152477.55;633.59;633.59;29.78;29.78
1604152495.34;632.24;632.24;29.9;29.9
1604152506.46;630.77;630.77;30.0;30.0
1604152517.6;629.27;629.27;30.1;30.1
1604152526.5;627.46;627.46;30.22;30.22
1604152536.51;625.94;625.94;30.32;30.32
1604152545.4;624.51;624.51;30.42;30.42
1604152557.63;622.81;622.81;30.53;30.53
1604152564.3;620.82;620.82;30.65;30.65
1604152570.97;619.18;619.18;30.75;30.75
1604152577.63;617.62;617.62;30.85;30.85
1604152611.0;621.23;621.23;30.75;30.75
1604152811.09;633.74;633.74;30.65;30.65
